"artist","song","vector"
"iann dior","heartbreak3r","[0.693481624126, 0.434420734644, 4.18367004395, 1514.23913574, 0.0732796266675, 7.24637556076, 1511.63098145, 19.4851932526, 0.422790646553, 12.5558071136, 5184731.5, 0.764842867851, 0.00844288058579, 0.02743845433, 0.00207087793387, 0.0014456952922, 0.00133280653972, 0.000981105375104, 0.00138360413257, 0.000959795783274, 0.00191715976689, 0.000570173608139, 0.000390730099753, 0.000547510921024, 0.000293830496958, 0.000207765799132, 0.000133812442073, 0.000134532601805, 0.000211165519431, 0.000329833099386, 0.000314172008075, 0.000233629936702, 0.000230685836868, 0.000186895384104, 0.000276572565781, 0.000191833532881, 8.63008099259e-05, 4.16716102336e-05, 4.45524383395e-05, -726.188354492, 107.051612854, 10.7075595856, 9.77836227417, -17.1243743896, -19.1837558746, -0.389806181192, 9.37456512451, -2.05848383904, 6.53610134125, -0.666323184967, 1.02428340912, -3.12239670753, -81.8679733276, 67.5846710205, -107.128387451, 9.01450061798, -73.5066299438, -1.61583817005, -24.0481128693, 18.3862495422, -17.8130645752, -3.86710572243, -8.34775447845, -1.41458654404, -9.34162425995, 161.544082642, 0.980141103268, 4.85985279083, 0.475059360266, 14.3345527649, 1.73940455914, 0.681027114391]"
"Drake","Preach (feat. PARTYNEXTDOOR)","[0.290773659945, 0.376704573631, 6.04071187973, 517.723327637, 0.0956501215696, 5.70445394516, 448.894500732, 28.2708950043, 0.354325592518, 7.03681707382, 2868254, 0.728701770306, 0.0135746281594, 0.10821313411, 0.00742221437395, 0.00552910007536, 0.00659616291523, 0.00119399733376, 0.00063123437576, 0.00108448602259, 0.000499501184095, 0.000241974441451, 0.000165177581948, 0.000146128237247, 9.16602584766e-05, 0.000164812619914, 0.000151093816385, 0.000147089274833, 0.000222915725317, 0.000322861364111, 0.000377553747967, 0.000494855456054, 0.000657412281726, 0.000452786363894, 0.000240960987867, 0.00016177710495, 0.000109455788333, 4.25192774856e-05, 8.25285769679e-06, -860.088806152, 200.29145813, 65.5202255249, 43.1706848145, 11.7463035583, 19.3573894501, 5.2822394371, 8.50854587555, -3.2227640152, 2.53066205978, 1.57657563686, -1.20825207233, 0.67688959837, -200.146362305, 179.121185303, -30.3936634064, 26.7615566254, -35.154258728, 1.66022050381, -14.8781995773, -10.604432106, -7.09244966507, -8.26876735687, -0.418737024069, -7.18989896774, -2.62124490738, 129.992034912, 1.13776278496, 2.30838251114, 0.511458575726, 12.7097082138, 2.05096817017, 0.728427231312]"
"Oasis","Champagne Supernova","[0.910394310951, 0.461384028196, 2.88657546043, 1343.25939941, 0.0738416612148, 7.39927339554, 1582.98364258, 23.8801021576, 0.589781701565, 24.6008338928, 3464114, 1.33719646931, 2.18107034016e-05, 0.00213903444819, 0.00228892359883, 0.00104027288035, 0.00239318865351, 0.00229679676704, 0.00251284870319, 0.00229237461463, 0.00155578413978, 0.0015044742031, 0.001145543647, 0.00144913222175, 0.00161950814072, 0.000932218274102, 0.000785518146586, 0.000577126978897, 0.000604835746344, 0.000593612960074, 0.000334389071213, 0.000306332658511, 0.000153278931975, 0.000108714113594, 6.53163733659e-05, 4.34209068771e-05, 1.5515342966e-05, 4.10080019719e-06, 4.937987228e-07, -638.488647461, 144.535110474, -25.2532348633, 18.7305774689, -5.99982976913, 2.61936497688, -4.60129308701, 3.22094559669, -9.85207271576, -0.955883979797, 0.636829555035, 2.85977268219, -1.61495447159, -11.0657253265, 120.977684021, -147.299926758, 24.3832187653, -59.4691886902, 4.94289827347, -34.3505516052, -0.0632720068097, -19.6960906982, -4.63589286804, -7.78468704224, -5.28352022171, -13.3263902664, 150.34614563, 1.09345710278, 2.82271909714, 0.536880075932, 14.5583105087, 1.87507259846, 0.794697642326]"
"We Are The Night","Tiramisu Cake","[0.921305775642, 0.451048731804, 4.61926364899, 1213.08654785, 0.0667882189155, 7.43605661392, 1549.46850586, 17.5564117432, 0.516933441162, 12.7359409332, 5566798, 0.820962488651, 0.00052501069149, 0.00550107751042, 0.00104534579441, 0.000684220460244, 0.0066467737779, 0.0038426911924, 0.00113748456351, 0.00154738628771, 0.00135644618422, 0.000498477893416, 0.000438076880528, 0.000436971517047, 0.00024058969575, 0.000234181177802, 0.000191589264432, 0.000131293490995, 0.000125848862808, 0.000237438012846, 0.000176240209839, 0.000201976115932, 0.000235035666265, 0.000207124176086, 0.000166062964126, 0.000122698824271, 0.000113953887194, 6.53643583064e-05, 6.92253524903e-06, -691.999084473, 110.131385803, 20.7386379242, 25.3024940491, -2.98328661919, 3.88547801971, -2.88454437256, 1.05016195774, -5.05515527725, -2.58318591118, -5.00887203217, -4.51129484177, -7.28730773926, -45.1587371826, 80.0468826294, -97.5801010132, 32.7558097839, -67.8957519531, 7.71293210983, -38.5502738953, 3.13719987869, -25.8395080566, 1.44168651104, -14.1704864502, 4.57279062271, -4.81121778488, 123.014823914, 1.25373280048, 4.04162836075, 0.537403762341, 15.1395053864, 1.89307463169, 0.691497683525]"
"HAON","OoMa","[0.907039046288, 0.413066804409, 4.11776733398, 744.141784668, 0.0821924954653, 6.72915744781, 1054.25842285, 15.0028533936, 0.513995051384, 10.9998664856, 4251586.5, 0.76894813776, 0.00128303398378, 0.0223898924887, 0.0026111099869, 0.00293868710287, 0.00434970902279, 0.00385154690593, 0.00301620666869, 0.00154114095494, 0.00141817762051, 0.000387177686207, 0.000193744825083, 0.00024545902852, 0.000293293996947, 0.00020042154938, 0.000191168524907, 9.51443507802e-05, 8.04095179774e-05, 5.7621011365e-05, 5.68214018131e-05, 0.000113112066174, 6.9855741458e-05, 0.000118677984574, 0.000171197738382, 0.000111133755127, 6.30784707027e-05, 2.87799812213e-05, 2.07291009247e-06, -737.943664551, 167.68850708, 28.6353626251, -2.29967355728, 6.02476549149, -4.6626124382, -13.8981218338, -8.55049705505, -13.7501878738, 2.39858102798, -1.98401498795, -2.00399398804, 3.64940643311, -87.4638977051, 127.972572327, -83.8189163208, -6.13903617859, -61.354850769, 0.649843931198, -48.6430130005, -1.75322306156, -18.1018562317, 2.29704809189, -8.66870689392, -4.63003921509, -14.133441925, 84.8177871704, 1.109988451, 4.06400871277, 0.557939350605, 14.2639036179, 1.81578731537, 0.816894471645]"
"XXXTENTACION","Ex Bitch","[0.833345592022, 0.381135433912, 5.74818658829, 770.562744141, 0.0438314937055, 6.53854322433, 1256.24267578, 11.1999101639, 0.485345870256, 6.47281074524, 5646715, 1.05664992332, 8.5022784333e-06, 5.57020030101e-05, 0.000750881212298, 0.00314334430732, 0.00685874512419, 0.00201229401864, 0.00247258529998, 0.00124299235176, 0.0016415042337, 0.000472236104542, 0.00022827895009, 0.00013572073658, 0.000124714220874, 8.12767975731e-05, 0.000105249120679, 4.18673516833e-05, 3.56822747563e-05, 6.97272771504e-05, 9.2800357379e-05, 4.99278103234e-05, 2.51052642852e-05, 3.0328916182e-05, 6.09947783232e-05, 9.27082073758e-05, 5.83934270253e-05, 5.97707730776e-05, 1.60927029356e-05, -778.409057617, 134.612762451, 42.9519729614, 4.79313468933, 3.61839270592, -13.9072980881, -4.95567989349, -4.69131135941, -15.7460269928, 2.82810163498, -11.0993175507, -3.91527223587, -6.54169940948, -109.717315674, 84.8772583008, -66.2888183594, 2.13129138947, -71.6387405396, 0.585329711437, -50.1571502686, 3.23430943489, -30.9280376434, -8.18098163605, -15.7862358093, -10.9127111435, -20.3520641327, 78.9799957275, 1.18542337418, 3.97750997543, 0.490336149931, 17.3533306122, 1.53515040874, 0.679892301559]"
"Addison Rae","Diet Pepsi","[0.857985436916, 0.441429555416, 4.66564178467, 981.801635742, 0.0906970202923, 7.51456689835, 1627.42358398, 23.0914669037, 0.482102960348, 12.2668943405, 7607317, 0.580028235912, 0.0057206498459, 0.0211816448718, 0.00355188571848, 0.0015318345977, 0.00605232268572, 0.00262415898032, 0.0020484761335, 0.00126716785599, 0.00121657550335, 0.000431833090261, 0.000791498285253, 0.000219108216697, 0.000145151279867, 9.76281589828e-05, 0.00014392430603, 0.000109269487439, 7.70666447352e-05, 9.69772809185e-05, 0.000139670271892, 0.000112557485409, 0.000143227807712, 0.000189578000573, 0.000228281656746, 0.000294570490951, 0.000474323518574, 0.000115087532322, 8.04714727565e-06, -684.96472168, 116.719047546, 41.5483283997, 2.05767178535, 1.09051609039, -7.84022331238, 1.58672010899, -3.46998214722, -2.34378266335, -2.13369512558, -3.36945867538, -5.22739934921, 1.1188082695, -36.7076263428, 76.5800094604, -71.9093170166, 8.51481246948, -73.0380554199, 13.0222101212, -43.5719871521, 12.4684553146, -28.8074626923, 4.05528116226, -12.7232666016, 2.70773530006, -3.97583961487, 150.073822021, 1.13564884663, 4.00083303452, 0.534027099609, 15.0791635513, 1.75867390633, 0.742208123207]"
"Oasis","Some Might Say","[0.962719619274, 0.481419563293, 2.28376960754, 1942.69702148, 0.0901607945561, 7.85120630264, 2413.92944336, 37.0884857178, 0.642869472504, 37.3300056458, 3922800.25, 1.4232224226, 0.00018818290846, 0.00329826050438, 0.00135518133175, 0.000806038675364, 0.00237047718838, 0.00229203118943, 0.00160354434047, 0.00204097642563, 0.00271916016936, 0.00165637605824, 0.00112040154636, 0.0016591217136, 0.00104812544305, 0.0019238764653, 0.00108886789531, 0.00106184929609, 0.000801654474344, 0.000713663292117, 0.00103425246198, 0.000600938801654, 0.000404458522098, 0.000167386344401, 8.62478991621e-05, 0.000220077898121, 0.000144483245094, 8.56671395013e-05, 1.58548446052e-05, -590.437988281, 114.548904419, -30.3143844604, 20.3147563934, -2.30719041824, -0.445066869259, 6.24428510666, -2.84570455551, -0.827796161175, 3.08288478851, -0.507952034473, 2.05305933952, -4.16402769089, 50.7547111511, 73.572807312, -135.527191162, 18.2769508362, -46.2585487366, 3.01348590851, -29.3376274109, 9.64201259613, -27.3153247833, 8.36647701263, -15.3439359665, 0.904165148735, -12.7982730865, 110.21585083, 1.0290030241, 2.8633685112, 0.515772402287, 13.7318439484, 2.03354215622, 0.76567363739]"
"Doja Cat","URRRGE!!!!!!!!!! (feat. A$AP Rocky)","[0.964858233929, 0.444780349731, 2.76791644096, 900.913269043, 0.0978307500482, 7.16477394104, 417.091156006, 17.4250717163, 0.29965248704, 10.9256391525, 5595037, 0.615962684155, 0.0062487567775, 0.0605220980942, 0.00768669741228, 0.00322625064291, 0.00219931686297, 0.000671869667713, 0.000486857403303, 0.000709725427441, 0.00101091433316, 0.000659616023768, 0.000381797493901, 0.000376381532988, 0.000311047158903, 0.000330275535816, 0.000371017958969, 0.000212974991882, 0.000150518055307, 0.000192635663552, 0.000153537795995, 0.000107463187305, 0.000131119493744, 0.00010888063116, 0.000113940812298, 0.000128214145661, 0.000104031634692, 4.29117353633e-05, 1.23606623674e-05, -708.065063477, 134.431716919, 37.3497123718, 26.2044029236, 17.5318603516, 17.0975170135, 16.2212123871, 17.2866325378, 16.0851726532, 16.0214157104, 10.2148246765, 5.64166641235, -1.60317981243, -46.843536377, 99.4412994385, -63.3472442627, 36.9632835388, -34.7676429749, 31.6007442474, -13.7163705826, 21.2981834412, -8.39187145233, 4.67726230621, -11.2070980072, -5.97560691833, -7.6031908989, 120.026412964, 1.35384881496, 4.72256708145, 0.43722012639, 13.0271120071, 1.97534191608, 0.588440954685]"
"CRO, Claudia Valentina","HIGH","[0.922220289707, 0.433421254158, 3.27956485748, 1031.60961914, 0.104786731303, 7.12357950211, 1150.04956055, 19.6734161377, 0.454915314913, 13.4071264267, 4970232, 0.808178424835, 0.000992265646346, 0.0342255942523, 0.00501797674224, 0.00178883690387, 0.00558241503313, 0.00269379839301, 0.00304983998649, 0.0010009072721, 0.00130692496896, 0.000507689721417, 0.00092579680495, 0.00078533537453, 0.000560216954909, 0.000425087608164, 0.000207342047361, 0.000155368106789, 0.000117959119962, 0.000139645300806, 0.000186479781405, 0.000193158964976, 0.000173493433977, 9.54761053436e-05, 0.000102489946585, 0.000120987671835, 8.19859124022e-05, 6.29540154478e-05, 5.93761660639e-06, -685.661804199, 136.898025513, 20.7683391571, 19.6177501678, 1.7044929266, 6.3533000946, 7.03674411774, 2.3169465065, -5.54984712601, 5.69432830811, -2.94218492508, 3.98251962662, 3.18678593636, -29.2595081329, 96.3713150024, -86.1307449341, 22.0188388824, -54.5622291565, 12.6390972137, -29.5773525238, 8.73469638824, -22.9567298889, 7.64639472961, -6.36643218994, 2.78669333458, -8.13001155853, 107.898399353, 1.20511054993, 4.91932582855, 0.493075191975, 13.8296689987, 1.95523047447, 0.656476140022]"
"XXXTENTACION","I Dont Wanna Do This Anymore","[0.958260774612, 0.421837627888, 2.78326225281, 891.323120117, 0.0892054364085, 7.19302415848, 1477.0456543, 24.534740448, 0.556438148022, 11.3692998886, 5827207.5, 1.16599047184, 0.000461371819256, 0.00588228320703, 0.000820732384454, 0.00313283782452, 0.00484089367092, 0.00739038223401, 0.00307606952265, 0.00247208611108, 0.00192677625455, 0.000483014329802, 0.000674329232424, 0.000358788936865, 0.000144168312545, 7.3568575317e-05, 6.0855771153e-05, 5.90181152802e-05, 8.70460207807e-05, 0.000121981953271, 0.000175022723852, 0.000150702690007, 0.000268887262791, 0.000442337972345, 0.000303244363749, 0.00027392845368, 0.000294640456559, 5.493469871e-05, 8.18872706532e-07, -670.830993652, 116.622398376, 47.1009178162, 10.7360515594, -16.1624546051, -18.0192165375, -13.5110502243, 2.87277197838, -19.8524208069, -8.34948444366, -6.15276908875, -4.23892259598, -3.2219247818, -27.326499939, 92.9558105469, -93.0870056152, 26.9771499634, -106.483428955, 3.53673219681, -53.3565635681, 6.10464715958, -29.2270679474, -12.097366333, -8.35364055634, -4.30683898926, -13.2171936035, 114.310203552, 1.0924475193, 4.16790103912, 0.49759542942, 14.7698411942, 1.78747475147, 0.512296319008]"
"Charli xcx, Ariana Grande","Sympathy is a knife featuring ariana grande","[0.346278876066, 0.464122533798, 4.30334091187, 1625.13122559, 0.0770889446139, 7.93167448044, 2465.70214844, 28.5049037933, 0.514485478401, 14.6419639587, 8304589, 0.628069043159, 0.0018044677563, 0.0152229303494, 0.00277552800253, 0.00158956483938, 0.00245135719888, 0.00197698269039, 0.00108637160156, 0.000683235703036, 0.001621583011, 0.000670405162964, 0.000718469556887, 0.000461343646748, 0.000471194158308, 0.000382909202017, 0.00052398344269, 0.000265038281213, 0.000188379024621, 0.000149568979396, 0.000213855848415, 0.00021560829191, 0.000228985227295, 0.000214004292502, 0.000193383719306, 0.000292425334919, 0.000698844552971, 0.000201883944101, 2.29851539189e-05, -669.69519043, 82.2430877686, 19.2114944458, 6.20689582825, 4.28339910507, -4.10861730576, 0.809704184532, -9.46667671204, 1.65712463856, -3.02329826355, -2.16109585762, -5.67396831512, -1.67983913422, -24.6896724701, 36.9402084351, -90.4435348511, 17.2397060394, -65.5599746704, 14.6808052063, -47.8994293213, 12.9751272202, -31.8581237793, 9.75879478455, -19.4554824829, -0.400681644678, -6.13924884796, 134.922622681, 0.93840688467, 4.85255241394, 0.532667756081, 14.0320692062, 1.95790207386, 0.840569674969]"
"Derek Pope","Us and Them","[0.920094251633, 0.426827758551, 3.51603245735, 887.278442383, 0.0816442370415, 7.23623228073, 1693.10998535, 31.8663768768, 0.508865475655, 12.2222089767, 7220910, 0.751025378704, 0.00248236232437, 0.0212112031877, 0.00446663284674, 0.00319399335422, 0.00349154276773, 0.00301392190158, 0.00246501504444, 0.000842345703859, 0.00166634877678, 0.00175235222559, 0.00037995580351, 0.000197357527213, 0.000350958580384, 0.000131010921905, 8.36221515783e-05, 9.36942378758e-05, 0.000154711611685, 9.66299849097e-05, 0.000149957282702, 0.000148701685248, 0.00019666897424, 0.000320575927617, 0.000360798236215, 0.000485176598886, 0.000513163860887, 0.000313347467454, 5.44029644516e-05, -688.658325195, 138.535140991, 47.2205276489, 11.2402830124, 3.76640725136, 2.90210390091, 1.77969288826, 3.97288417816, 2.58123278618, -3.44621992111, 6.905834198, 1.29683530331, 0.398986399174, -31.6870193481, 97.9354934692, -59.4758644104, 13.0211515427, -60.3312759399, 15.2950744629, -30.8055934906, 9.67151355743, -17.9995231628, 4.32914018631, -9.4478225708, 5.56350374222, -6.57059431076, 152.930557251, 1.15285360813, 4.42672204971, 0.47036844492, 15.4178152084, 1.69733071327, 0.739493310452]"
"Usher","Love In This Club (Main Version) (feat. Young Jeezy)","[0.161490365863, 0.4333152771, 7.78102874756, 1203.65844727, 0.055291749537, 7.02205562592, 1399.68041992, 8.0991973877, 0.631618320942, 6.75165271759, 3360254, 0.684657633305, 5.74444675294e-06, 0.000466484052595, 0.00207153125666, 0.000778130430263, 0.00161657575518, 0.00204091100022, 0.002521016635, 0.00162240257487, 0.00100802630186, 0.000302838510834, 0.000186253804713, 0.000214408049942, 0.000223767216085, 0.000202754294151, 0.000120801007142, 7.03351688571e-05, 4.94224877912e-05, 4.32052729593e-05, 9.60972756729e-05, 7.55514192861e-05, 9.76360897766e-05, 7.24187702872e-05, 3.39556572726e-05, 2.10305643122e-05, 2.77694493889e-06, 1.17498238694e-07, 6.05138481546e-08, -808.477294922, 152.434646606, 5.6048617363, 33.789264679, -2.17736911774, 3.50139784813, -8.21902179718, -4.56119441986, -13.0845270157, 5.14810752869, -3.74935507774, -3.10815691948, -3.00066184998, -164.861358643, 125.622817993, -109.14214325, 32.1545333862, -57.431060791, -7.42074108124, -34.0145721436, -9.50005626678, -15.5843029022, -6.44465255737, -6.67535018921, -12.8004894257, -12.8036556244, 135.788162231, 1.36735641956, 4.70335674286, 0.458614259958, 11.5904397964, 2.38351416588, 0.254091858864]"
"mgk, WILLOW","emo girl","[0.966895997524, 0.47086507082, 2.09092402458, 1588.59399414, 0.109449580312, 7.73500537872, 1392.80639648, 26.7162151337, 0.514369010925, 27.2534656525, 4844834.5, 0.585220396519, 0.00137621420436, 0.0178439281881, 0.00729123456404, 0.00350210722536, 0.00350933196023, 0.00217180280015, 0.000640683341771, 0.00123564340174, 0.00182141351979, 0.00125019066036, 0.000586410344113, 0.00077943893848, 0.000711636908818, 0.00053186196601, 0.000609785958659, 0.000649716181215, 0.000621009676252, 0.000519183988217, 0.000514424173161, 0.000446581718279, 0.000301938824123, 0.000204630094231, 0.000151810250827, 0.000172062951606, 0.000113086556667, 3.34553515131e-05, 4.93257948619e-06, -614.279052734, 115.319564819, -1.73253369331, 26.3425960541, 11.1087903976, 8.61551094055, 8.8505115509, 8.17724132538, 6.57315301895, 6.51357316971, -0.140023067594, 1.36574876308, -1.96321320534, 24.2090091705, 86.6577072144, -111.512649536, 39.8650779724, -44.9765357971, 21.484500885, -29.5741996765, 15.9610719681, -22.0588798523, 2.40271830559, -15.875664711, -2.70470428467, -7.78062057495, 164.770599365, 1.01444339752, 3.43777060509, 0.500873744488, 12.6066408157, 2.0761089325, 0.784868717194]"
"The Starting Line","The Best Of Me","[0.943344593048, 0.472817927599, 2.96148633957, 1707.32250977, 0.0937274247408, 7.81375026703, 2094.10888672, 32.1259536743, 0.57225137949, 29.9291629791, 4775045.5, 0.773524165154, 0.00196683430113, 0.00667596701533, 0.00341383647174, 0.00360657298006, 0.00352187501267, 0.00155766389798, 0.000878882710822, 0.00038324817433, 0.00229437625967, 0.0009798433166, 0.00100656296127, 0.000626926426776, 0.00077961810166, 0.000754043110646, 0.000604390224908, 0.00105705542956, 0.000756150227971, 0.000476759829326, 0.000573883997276, 0.000476027140394, 0.000554810278118, 0.000420294993091, 0.000360840611393, 0.000254111480899, 0.000124912243336, 4.48677310487e-05, 8.40682332637e-06, -607.060424805, 102.250953674, -3.66251850128, 20.5460357666, 3.9832046032, 12.6558485031, 0.0733225494623, 8.27951908112, 2.33276867867, 0.142045676708, -5.36084365845, -2.94245553017, -5.5138130188, 31.0575790405, 74.3806838989, -119.739585876, 35.2080802917, -54.2425842285, 19.7201061249, -34.30078125, 4.70070314407, -24.7977352142, -3.97150611877, -22.044500351, -0.617682993412, -10.8670873642, 106.817123413, 0.9883903265, 3.06635451317, 0.527782440186, 13.1130962372, 2.08807206154, 0.808874428272]"
"Camila Cabello","Chanel No.5","[0.868781328201, 0.418470650911, 4.10697317123, 1001.92816162, 0.0923915803432, 7.02686834335, 1421.31689453, 23.390296936, 0.461482226849, 12.0153245926, 5760781.5, 0.917925953865, 0.0061895493418, 0.0208876673132, 0.00218447856605, 0.000814102997538, 0.0020465219859, 0.00338490353897, 0.0016057054745, 0.00121448445134, 0.00292770378292, 0.00125651585404, 0.0020296620205, 0.000604020897299, 0.000643955369014, 0.000440702482592, 0.000706728897057, 0.000286893715383, 0.000118302123155, 7.53929489292e-05, 9.31025861064e-05, 8.48224008223e-05, 9.45547944866e-05, 9.76774390438e-05, 8.06499883765e-05, 0.000217639622861, 0.000330467824824, 9.68932290561e-05, 3.37879055223e-06, -710.345825195, 155.872543335, 25.8071155548, 0.26628446579, 6.02122449875, 4.10205888748, 10.8793649673, -1.0559694767, 9.77209758759, 7.73842334747, -1.06603848934, -0.599470019341, -0.228448033333, -54.9033546448, 113.35823822, -83.3879089355, 5.07968664169, -53.4017715454, 25.1230888367, -29.382648468, 15.9161329269, -19.3254032135, 10.159614563, -9.89660167694, -2.19549798965, 3.44432091713, 92.9284667969, 1.17403495312, 4.23440694809, 0.457373082638, 14.8736763, 1.71955657005, 0.534112632275]"
"f(x)","Goodbye Summer (AMBER, LUNA & KRYSTAL) (feat. D.O.)","[0.73714607954, 0.451984971762, 4.83929538727, 918.7109375, 0.062597900629, 7.20447683334, 1083.93444824, 13.1577701569, 0.594255566597, 12.8764181137, 3826333, 0.961854398251, 0.000129724212456, 0.00380370463245, 0.00180917594116, 0.00174948864151, 0.00567274447531, 0.00225413474254, 0.00201299693435, 0.00103269866668, 0.00213717250153, 0.000625545450021, 0.000631630304269, 0.000511753838509, 0.000466286728624, 0.000516999862157, 0.00024887296604, 0.000186170320376, 0.000165335208294, 0.000130041647935, 0.000145894271554, 8.24891030788e-05, 6.76907511661e-05, 5.11121288582e-05, 5.46558112546e-05, 4.45879595645e-05, 2.61581426457e-05, 5.4964480114e-06, 1.87536329577e-06, -694.542541504, 141.721679688, -6.41332578659, 16.2854194641, -1.37479460239, -2.78980493546, -1.71994018555, -0.29127445817, -9.05071353912, -3.71436333656, -6.39608573914, -7.21397352219, -5.94463777542, -56.32654953, 110.302558899, -123.404983521, 18.8649845123, -60.8625488281, 2.12115287781, -39.8147888184, -0.604862689972, -28.3620758057, -9.46910476685, -13.0631427765, -7.39433193207, -8.89673614502, 150.113693237, 1.03562033176, 3.22639465332, 0.504483878613, 15.3716421127, 1.75706017017, 0.845602214336]"
"Tinashe","Nasty","[0.868614792824, 0.399319380522, 3.55018949509, 913.266052246, 0.0866313204169, 6.54514169693, 945.301940918, 18.4087753296, 0.374259054661, 10.8942232132, 4472255, 0.988265752792, 0.00196597119793, 0.0548550896347, 0.0105733182281, 0.00167684722692, 0.00322906929068, 0.00190458307043, 0.00148591888137, 0.0010007454548, 0.000964217586443, 0.000618226185907, 0.000609158247244, 0.000378745055059, 0.000376987562049, 0.000380674813641, 0.000532640318852, 0.000217214590521, 0.000153793414938, 0.00019547183183, 0.000192306019017, 0.000147293365444, 0.000115358830953, 5.72309436393e-05, 9.31940376176e-05, 9.94256915874e-05, 7.45417055441e-05, 3.11732837872e-05, 1.25120300254e-06, -752.371398926, 166.655334473, 31.8731269836, 36.4426231384, 10.2736387253, -6.78711605072, 1.0076417923, -7.60667657852, -0.161910280585, 8.85894870758, -1.45678663254, 6.02232694626, 0.527257323265, -95.8879318237, 133.956008911, -71.2777938843, 23.2678642273, -49.0107917786, -4.87040996552, -31.2878704071, 11.3108921051, -13.1392431259, 7.50378322601, -3.72951745987, -6.16206073761, 0.388282299042, 99.9255142212, 1.10122430325, 4.33987140656, 0.452128410339, 14.5120487213, 1.74775922298, 0.612670660019]"
"Yorushika","Only sorrow","[0.377302229404, 0.417449086905, 7.35676002502, 637.690307617, 0.0493410564959, 6.66272211075, 740.828735352, 10.187502861, 0.497337639332, 8.4469575882, 4432848.5, 0.75423169136, 0.000198536479729, 0.00227329693735, 0.00220976397395, 0.00260004377924, 0.00479280343279, 0.00204646028578, 0.00184776063543, 0.00046524964273, 0.000720042327885, 0.00120378739666, 0.000237812899286, 0.000331087241648, 0.000130370011902, 0.000222407397814, 0.000131042514113, 0.000200534341275, 0.000163671385963, 0.000121857767226, 0.000111954454042, 7.45581564843e-05, 4.49169710919e-05, 2.3054479243e-05, 1.81359155249e-05, 4.03002741223e-05, 6.35337273707e-05, 2.34119743254e-05, 1.20136667192e-06, -774.528198242, 149.95892334, 23.662689209, 30.5419445038, 11.3650970459, -7.11681270599, 0.101249717176, -7.0158162117, -3.06731843948, -8.16750144958, -9.14165401459, -6.0221619606, -9.03266334534, -119.206672668, 118.729774475, -85.9032745361, 25.2059879303, -55.0350379944, -3.72063016891, -46.9922065735, 3.27301836014, -32.639087677, -5.39406061172, -18.8497848511, -7.69458055496, -7.59236383438, 79.9138259888, 0.959609210491, 2.99570012093, 0.521397531033, 18.1503372192, 1.50157797337, 0.850655972958]"
"The-Dream","Shawty Is Da Shit (feat. Fabolous)","[0.949859380722, 0.448377221823, 3.85093140602, 1581.26489258, 0.0877242386341, 7.44630241394, 1864.87695312, 23.2437553406, 0.455652087927, 12.9635982513, 5414949, 1.01878881454, 0.00204107048921, 0.0140829337761, 0.00187361042481, 0.000709389336407, 0.000914769247174, 0.00164043495897, 0.000723905221093, 0.00135320669506, 0.00157722341828, 0.00130587187596, 0.000758802285418, 0.000777407258283, 0.000699683034327, 0.000723977864254, 0.000436762988102, 0.000430668413173, 0.000635618751403, 0.000449508137535, 0.000271433731541, 0.000218263448915, 0.000105410996184, 0.000146167469211, 0.000277608894976, 0.000229800440138, 0.000139781463076, 7.21051401342e-05, 1.16636556413e-05, -681.971801758, 102.320785522, -0.111499898136, 4.95859766006, 11.2761135101, 0.00246159429662, 6.63874769211, 15.9583644867, -1.20669841766, 13.9035520554, 5.93253564835, 6.38923692703, 7.51257801056, -29.3444652557, 58.7211151123, -108.247428894, 16.1948337555, -49.1500282288, 24.0250148773, -28.8318004608, 26.4027481079, -10.8023366928, 9.37630271912, 0.101293832064, 9.34041976929, -6.30546617508, 75.8022918701, 1.45471298695, 3.46662211418, 0.537026584148, 14.5170936584, 1.86190986633, 0.650986194611]"
"Asia Cruise","Selfish (Main Version)","[0.953326761723, 0.432750552893, 2.77389192581, 1167.86730957, 0.0767508819699, 7.40282440186, 2193.26342773, 31.0519008636, 0.505566060543, 13.5214242935, 7547722, 1.09351873398, 0.000682590412907, 0.00890507083386, 0.000522585236467, 0.000296473677736, 0.00167729717214, 0.00400471361354, 0.00156687700655, 0.000434365909314, 0.00165312713943, 0.00141121749766, 0.000724688405171, 0.000539228145499, 0.000436052767327, 0.000242843147134, 0.000350266112946, 0.00024601817131, 0.000318856560625, 0.000207246732316, 0.000261179753579, 0.000256471976172, 0.000204921263503, 0.000188850564882, 0.000236288338783, 0.000339777150657, 0.000450173858553, 0.000350831018295, 0.000136752627441, -685.582336426, 108.852371216, 18.861448288, 0.00196358584799, 2.6863489151, -16.5822257996, 2.1409432888, -9.27058887482, -4.29275226593, -3.79406952858, -7.68664216995, -3.64435338974, 2.86519765854, -24.1567287445, 48.99168396, -84.7216262817, -8.09609985352, -62.2550086975, 1.97125208378, -44.7045822144, 14.7125291824, -30.5730648041, 9.23522853851, -7.43617153168, 8.33379554749, 0.644990742207, 101.931968689, 1.46605837345, 3.817050457, 0.462793558836, 17.5107936859, 1.57601046562, 0.64489197731]"
